Objects
300
,,Global Angle Robot_1:Robot_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
270,0,-0.006558,-0.016882,0.007569,228.092941,-1250.389404,178.210114
271,0,-0.006554,-0.016755,0.007583,228.095306,-1250.403687,178.231339
272,0,-0.006456,-0.016694,0.007466,228.089600,-1250.415039,178.235107
273,0,-0.006594,-0.016720,0.007643,228.092316,-1250.391235,178.217911
274,0,-0.006551,-0.017045,0.007458,228.097336,-1250.397095,178.222870
275,0,-0.006571,-0.017210,0.007443,228.088501,-1250.390259,178.226288
276,0,-0.006572,-0.016588,0.007515,228.089630,-1250.403076,178.230515
277,0,-0.006584,-0.016850,0.007436,228.090912,-1250.397095,178.219772
278,0,-0.006547,-0.016853,0.007466,228.090591,-1250.395752,178.218384
279,0,-0.006430,-0.016972,0.007501,228.097504,-1250.404053,178.224136
280,0,-0.006548,-0.016910,0.007459,228.096054,-1250.398682,178.222565
281,0,-0.006647,-0.016869,0.007511,228.088013,-1250.389038,178.221512
282,0,-0.006527,-0.016927,0.007586,228.099380,-1250.391602,178.223160
283,0,-0.006592,-0.016680,0.007433,228.087646,-1250.400635,178.229416
284,0,-0.006591,-0.016875,0.007472,228.090820,-1250.391235,178.213120
285,0,-0.006422,-0.016802,0.007452,228.086609,-1250.388306,178.233582
286,0,-0.006619,-0.016662,0.007536,228.082504,-1250.386963,178.206894
287,0,-0.006489,-0.016900,0.007463,228.091980,-1250.393555,178.224335
288,0,-0.006616,-0.016912,0.007413,228.087311,-1250.378906,178.215729
289,0,-0.006671,-0.017000,0.007459,228.083542,-1250.383545,178.213196
290,0,-0.006477,-0.016752,0.007448,228.089493,-1250.381836,178.216232
291,0,-0.006544,-0.016742,0.007416,228.088150,-1250.392944,178.211395
292,0,-0.006516,-0.016745,0.007356,228.096100,-1250.387573,178.224777
293,0,-0.006595,-0.017051,0.007449,228.079910,-1250.397583,178.233704
294,0,-0.006623,-0.016458,0.007540,228.086548,-1250.385376,178.222198
295,0,-0.006586,-0.016832,0.007473,228.082779,-1250.382080,178.209229
296,0,-0.006579,-0.016566,0.007535,228.077698,-1250.379883,178.217636
297,0,-0.006740,-0.016775,0.007407,228.088806,-1250.383301,178.216125
298,0,-0.006596,-0.016729,0.007484,228.079483,-1250.387573,178.209305
299,0,-0.006607,-0.016776,0.007409,228.085236,-1250.387085,178.220901
300,0,-0.006587,-0.016549,0.007564,228.082458,-1250.378296,178.213852
301,0,-0.006593,-0.016948,0.007445,228.082230,-1250.377563,178.206055
302,0,-0.006782,-0.017061,0.007371,228.082855,-1250.382935,178.209839
303,0,-0.006606,-0.016813,0.007402,228.083588,-1250.391357,178.217621
304,0,-0.006614,-0.016553,0.007488,228.069214,-1250.382568,178.226364
305,0,-0.006771,-0.016651,0.007442,228.083145,-1250.378662,178.205338
306,0,-0.006644,-0.016981,0.007409,228.082230,-1250.381958,178.211517
307,0,-0.006569,-0.016996,0.007500,228.072815,-1250.377319,178.212021
308,0,-0.006515,-0.016957,0.007364,228.080093,-1250.392090,178.218262
309,0,-0.006583,-0.016612,0.007470,228.076462,-1250.381714,178.207184
310,0,-0.006595,-0.016555,0.007465,228.082352,-1250.387085,178.211960
311,0,-0.006627,-0.016524,0.007529,228.071533,-1250.399658,178.234100
312,0,-0.006640,-0.016547,0.007479,228.082138,-1250.386475,178.227982
313,0,-0.006656,-0.016911,0.007454,228.078201,-1250.380249,178.217133
314,0,-0.006721,-0.016898,0.007461,228.074722,-1250.381958,178.210159
315,0,-0.006642,-0.017085,0.007391,228.075500,-1250.385376,178.212280
316,0,-0.006649,-0.016655,0.007444,228.074387,-1250.384155,178.210724
317,0,-0.006612,-0.016890,0.007293,228.084503,-1250.373901,178.201401
318,0,-0.006609,-0.016846,0.007493,228.076401,-1250.382690,178.209229
319,0,-0.006782,-0.016824,0.007368,228.076828,-1250.386475,178.204514
320,0,-0.006652,-0.016644,0.007488,228.080063,-1250.390747,178.213058
321,0,-0.006505,-0.017192,0.007336,228.077362,-1250.376587,178.205429
322,0,-0.006681,-0.016881,0.007529,228.080688,-1250.382202,178.203476
323,0,-0.006659,-0.016563,0.007354,228.076981,-1250.371948,178.196075
324,0,-0.006847,-0.017014,0.007303,228.086029,-1250.375610,178.198120
325,0,-0.006613,-0.016772,0.007425,228.079559,-1250.382935,178.220200
326,0,-0.006626,-0.016612,0.007523,228.081100,-1250.378052,178.211334
327,0,-0.006561,-0.016525,0.007528,228.080124,-1250.384399,178.212601
